,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Direction_of_Melodic_Motion,Average_Interval_Spanned_by_Melodic_Arcs,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Variability_in_Rhythmic_Value_Run_Lengths,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Variability
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_02_R1_2014_wav--1.midi",0.06588, 0.1568, 0.9776, 0.9812, 10.2, 3.358, 1.0, 0.1443, 0.7063, 0.004036, 0.1019, 0.2462, 0.1065, 0.03986, 0.02119, 0.03784, 0.07972, 0.03431, 0.03986, 0.3905, 0.46, 16.78, 0.117, 0.5546, 0.7847, 0.1632, 0.01672, 0.4376, 0.2831, 1.273, 1.157, 0.007138, 0.007138
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_08_R1_2014_wav--2.midi",0.04017, 0.09412, 0.9454, 0.986, 14.49, 3.525, 1.0, 0.1653, 0.8167, 0.01833, 0.06562, 0.231, 0.2437, 0.07255, 0.04589, 0.0762, 0.06377, 0.03441, 0.06678, 0.1474, 0.4384, 14.1, 0.7341, 0.8395, 0.2298, 0.05809, 0.01159, 0.5289, 1.0, 1.069, 8.002, 0.006348, 0.006348
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_19-20-21_R2_2014_MID--AUDIO_21_R2_2014_wav.midi",0.04484, 0.1325, 0.9682, 0.9556, 13.22, 3.453, 9.0, 0.1229, 0.6197, 0.01732, 0.04649, 0.09071, 0.1416, 0.05797, 0.02567, 0.05165, 0.0756, 0.02929, 0.1229, 0.3873, 0.4683, 20.83, 0.747, 0.8518, 0.2282, 0.04086, 0.005702, 0.4667, 1.0, 0.7679, 2.924, 0.006323, 0.006323
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--5.midi",0.04124, 0.1221, 0.9609, 0.9525, 17.45, 3.606, 1.0, 0.3132, 0.2984, 0.02558, 0.08855, 0.4018, 0.1581, 0.02722, 0.05313, 0.06396, 0.05313, 0.02558, 0.06264, 0.1289, 0.4685, 14.71, 0.9372, 0.9675, 0.0596, 0.005477, 3.222E-4, 0.7745, 1.0, 0.2935, 11.88, 0.006157, 0.006157
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_04-07-08-10-12-15-17_R2_2014_MID--AUDIO_17_R2_2014_wav.midi",0.05619, 0.1663, 0.799, 0.8345, 13.16, 3.475, 9.0, 0.1168, 0.7722, 0.01416, 0.05635, 0.1277, 0.195, 0.07243, 0.02027, 0.05052, 0.07725, 0.02883, 0.09021, 0.3236, 0.4604, 19.15, 0.6984, 0.8362, 0.2801, 0.04747, 0.003563, 0.3658, 1.0, 0.6726, 2.475, 0.006494, 0.006494
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--6.midi",0.05315, 0.1623, 0.9439, 0.9226, 13.19, 3.398, 9.0, 0.1255, 0.6056, 0.02785, 0.05654, 0.1154, 0.1343, 0.05789, 0.0302, 0.05399, 0.1095, 0.03931, 0.1255, 0.306, 0.4688, 19.74, 0.7868, 0.8705, 0.1985, 0.02826, 0.003423, 0.6321, 1.0, 0.6367, 5.991, 0.006455, 0.006455
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--3.midi",0.05785, 0.1334, 0.8755, 0.824, 12.85, 3.376, 2.0, 0.1151, 0.782, 0.007236, 0.08997, 0.1486, 0.1828, 0.0603, 0.07139, 0.05137, 0.1177, 0.04342, 0.05113, 0.266, 0.4757, 16.11, 0.9654, 0.9844, 0.03439, 2.323E-4, 0.0, 0.832, 1.0, 0.1352, 7.482, 0.006475, 0.006475
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_19-21_R3_2014_MID--AUDIO_21_R3_2014_wav--1.midi",0.08745, 0.2114, 0.8834, 0.6929, 9.818, 3.465, 1.0, 0.3261, 0.4395, 0.02975, 0.1433, 0.4694, 0.1233, 0.04002, 0.005408, 0.0265, 0.04381, 0.02326, 0.0411, 0.1974, 0.4922, 9.962, 0.6395, 0.7516, 0.3391, 0.06009, 0.005365, 0.5655, 1.0, 0.8582, 2.733, 0.006785, 0.006785
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--3.midi",0.06064, 0.1531, 0.8919, 0.8585, 11.74, 3.431, 10.0, 0.1206, 0.6301, 0.01148, 0.05863, 0.1346, 0.1316, 0.05798, 0.0356, 0.05381, 0.1116, 0.0386, 0.1206, 0.3042, 0.479, 17.16, 0.6119, 0.7444, 0.341, 0.06997, 0.01397, 0.3695, 1.0, 1.12, 1.98, 0.00646, 0.00646
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--4.midi",0.03772, 0.1394, 0.9744, 0.7917, 16.91, 3.383, 9.0, 0.1308, 0.8056, 0.02901, 0.04039, 0.09945, 0.1595, 0.05659, 0.05188, 0.05024, 0.08427, 0.02891, 0.1308, 0.3093, 0.4669, 21.1, 0.9121, 0.958, 0.08306, 0.007332, 0.001929, 0.8018, 1.0, 0.4497, 13.75, 0.006296, 0.006296
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_04-07-08-10-12-15-17_R2_2014_MID--AUDIO_08_R2_2014_wav.midi",0.05626, 0.1664, 0.7977, 0.8256, 13.19, 3.473, 9.0, 0.1216, 0.7188, 0.01257, 0.05799, 0.1288, 0.2068, 0.0741, 0.02161, 0.04884, 0.07247, 0.0256, 0.0874, 0.3218, 0.4546, 19.54, 0.7113, 0.8427, 0.2621, 0.04814, 0.005283, 0.3664, 1.0, 0.7718, 2.672, 0.006524, 0.006524
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--7.midi",0.04473, 0.1443, 0.9468, 0.8924, 14.63, 3.413, 9.0, 0.08543, 0.7937, 0.01118, 0.05083, 0.117, 0.1153, 0.04889, 0.03213, 0.05964, 0.1052, 0.02998, 0.08543, 0.3952, 0.464, 22.05, 0.7956, 0.8989, 0.196, 0.01594, 0.001656, 0.5263, 1.0, 0.4799, 3.521, 0.00643, 0.00643
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--2.midi",0.07503, 0.1672, 0.7552, 0.9263, 11.2, 3.405, 1.0, 0.1334, 0.9163, 0.003189, 0.1222, 0.2556, 0.07551, 0.03371, 0.01355, 0.03075, 0.06708, 0.03018, 0.02506, 0.4654, 0.4797, 18.24, 0.5783, 0.8177, 0.4019, 0.03315, 0.003024, 0.2917, 1.0, 0.6834, 2.09, 0.007308, 0.007308
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_22_R1_2014_wav--4.midi",0.04064, 0.1085, 0.9939, 0.9623, 14.64, 3.435, 2.0, 0.09929, 0.7718, 0.01506, 0.03484, 0.07794, 0.1679, 0.07008, 0.07663, 0.07362, 0.0972, 0.07139, 0.07506, 0.2751, 0.463, 18.0, 0.8394, 0.9036, 0.1414, 0.03098, 0.004337, 0.6964, 1.0, 0.6484, 8.169, 0.006297, 0.006297
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--3.midi",0.101, 0.1925, 0.7289, 0.9572, 11.83, 3.494, 9.0, 0.1558, 0.7088, 0.00432, 0.03294, 0.08234, 0.1871, 0.07748, 0.02727, 0.05616, 0.1263, 0.03564, 0.1558, 0.2476, 0.4458, 17.25, 0.3511, 0.6042, 0.6148, 0.08666, 0.01276, 0.2531, 0.9758, 1.119, 0.8743, 0.006792, 0.006792
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_18_R1_2014_wav--4.midi",0.03864, 0.1611, 1.0, 0.7528, 16.64, 3.472, 2.0, 0.0893, 0.843, 0.003657, 0.0384, 0.07162, 0.1542, 0.07528, 0.06218, 0.07284, 0.08991, 0.04694, 0.07071, 0.3526, 0.4592, 20.17, 0.8948, 0.9281, 0.09721, 0.01278, 5.945E-4, 0.6552, 1.0, 0.4059, 2.848, 0.006374, 0.006374
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_06_R1_2014_wav--2.midi",0.04087, 0.1225, 0.9439, 0.9493, 13.44, 3.429, 9.0, 0.08956, 0.9457, 0.005697, 0.06442, 0.1455, 0.1439, 0.06016, 0.03684, 0.05226, 0.0866, 0.03836, 0.08956, 0.3411, 0.4603, 19.04, 0.6135, 0.7591, 0.3496, 0.06999, 0.009978, 0.314, 1.0, 0.9592, 1.53, 0.006432, 0.006432
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--8.midi",0.05566, 0.1708, 0.9769, 0.9317, 12.91, 3.392, 9.0, 0.1244, 0.6481, 0.02649, 0.0474, 0.101, 0.1409, 0.06672, 0.03223, 0.06263, 0.1094, 0.03668, 0.1244, 0.2995, 0.4708, 19.11, 0.7592, 0.8467, 0.2239, 0.03607, 0.004913, 0.5966, 1.0, 0.7028, 5.735, 0.006464, 0.006464
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_03_R1_2014_wav--6.midi",0.04669, 0.1434, 0.9555, 0.9451, 12.78, 3.496, 9.0, 0.1348, 0.5071, 0.01749, 0.02541, 0.06764, 0.1128, 0.04844, 0.0357, 0.04567, 0.08863, 0.04593, 0.1348, 0.4029, 0.4655, 21.41, 0.8129, 0.9009, 0.1766, 0.02161, 0.002457, 0.6606, 1.0, 0.5789, 5.99, 0.006497, 0.006497
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_04-07-08-10-12-15-17_R2_2014_MID--AUDIO_07_R2_2014_wav.midi",0.04599, 0.1295, 0.9624, 0.9725, 13.09, 3.456, 9.0, 0.1234, 0.5909, 0.01884, 0.04578, 0.0884, 0.1346, 0.05702, 0.02559, 0.04949, 0.07941, 0.03031, 0.1234, 0.3929, 0.4744, 20.73, 0.8084, 0.8849, 0.1821, 0.02138, 0.002105, 0.5895, 1.0, 0.5295, 5.258, 0.006533, 0.006533
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_17_R1_2014_wav--2.midi",0.04331, 0.1467, 0.755, 0.7441, 16.38, 3.383, 9.0, 0.149, 0.8185, 0.01093, 0.03387, 0.09906, 0.1904, 0.05545, 0.02877, 0.04908, 0.09187, 0.03478, 0.149, 0.2907, 0.4779, 18.72, 0.9011, 0.9429, 0.09265, 0.01277, 3.451E-4, 0.771, 1.0, 0.3674, 9.974, 0.006465, 0.006465
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_06_R1_2014_wav--3.midi",0.05094, 0.1471, 0.8831, 0.9897, 13.89, 3.473, 1.0, 0.1101, 0.7554, 0.02244, 0.03854, 0.1217, 0.1813, 0.08301, 0.02996, 0.05886, 0.08037, 0.02283, 0.07444, 0.3251, 0.4689, 17.22, 0.434, 0.6699, 0.5151, 0.08452, 0.0114, 0.2359, 0.9823, 1.016, 1.699, 0.006573, 0.006573
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_18_R1_2014_wav--5.midi",0.0674, 0.1874, 0.8664, 0.8047, 11.53, 3.339, 1.0, 0.09522, 0.9649, 0.007301, 0.05932, 0.1545, 0.1673, 0.06876, 0.03347, 0.0791, 0.08701, 0.03255, 0.07149, 0.2984, 0.4655, 18.22, 0.4541, 0.6935, 0.5212, 0.04416, 0.00523, 0.3411, 1.0, 0.7413, 2.46, 0.007018, 0.007018
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--2.midi",0.058, 0.1673, 0.9018, 0.9737, 12.01, 3.427, 9.0, 0.1033, 0.9854, 0.01225, 0.09838, 0.1814, 0.1678, 0.04377, 0.0269, 0.04448, 0.08621, 0.0396, 0.1018, 0.2957, 0.4674, 16.78, 0.6346, 0.7815, 0.3457, 0.03884, 0.003107, 0.4523, 1.0, 0.6552, 3.593, 0.006446, 0.006446
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_13_R1_2014_wav--6.midi",0.03425, 0.1266, 0.9719, 0.9477, 16.32, 3.456, 9.0, 0.1448, 0.6367, 0.01171, 0.06162, 0.1136, 0.1555, 0.04957, 0.02918, 0.04679, 0.08749, 0.03833, 0.1448, 0.3231, 0.4658, 20.32, 0.9084, 0.9547, 0.08616, 0.009573, 8.995E-4, 0.7584, 1.0, 0.3708, 9.0, 0.006395, 0.006395
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_22_R1_2014_wav--5.midi",0.04186, 0.1249, 0.9074, 0.9367, 13.38, 3.419, 9.0, 0.09557, 0.9444, 0.004918, 0.06187, 0.1376, 0.1472, 0.05988, 0.03839, 0.04957, 0.08828, 0.03569, 0.09557, 0.3429, 0.4621, 19.2, 0.7045, 0.8121, 0.2576, 0.06565, 0.01031, 0.4624, 1.0, 0.9662, 2.333, 0.006463, 0.006463
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--3.midi",0.05944, 0.1696, 0.8952, 0.7329, 14.4, 3.383, 9.0, 0.1416, 0.6315, 0.01264, 0.04373, 0.1115, 0.1387, 0.06182, 0.03881, 0.04127, 0.06112, 0.02547, 0.1416, 0.3671, 0.4637, 22.04, 0.8065, 0.8904, 0.178, 0.02677, 0.006398, 0.6141, 1.0, 0.7267, 3.773, 0.006324, 0.006324
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--6.midi",0.07388, 0.2002, 0.9275, 0.8717, 12.73, 3.195, 1.0, 0.1439, 0.8571, 0.003247, 0.1234, 0.2673, 0.09091, 0.02814, 0.01732, 0.05844, 0.08333, 0.02165, 0.06061, 0.369, 0.4973, 18.8, 0.3383, 0.439, 0.6113, 0.1199, 0.003212, 0.2024, 1.0, 0.924, 0.9798, 0.005624, 0.005624
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_19-20-21_R2_2014_MID--AUDIO_20_R2_2014_wav.midi",0.0481, 0.1501, 0.912, 0.9148, 13.34, 3.459, 9.0, 0.2145, 0.3991, 0.05766, 0.01803, 0.04994, 0.1491, 0.04454, 0.02044, 0.03876, 0.07356, 0.02979, 0.2145, 0.3217, 0.4658, 18.87, 0.545, 0.686, 0.4291, 0.05692, 0.002115, 0.3928, 1.0, 0.7117, 2.56, 0.006818, 0.006818
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_04-08-12_R3_2014_MID--AUDIO_04_R3_2014_wav--1.midi",0.02818, 0.1281, 0.9859, 0.8668, 17.81, 3.385, 9.0, 0.2245, 0.3691, 0.02709, 0.02021, 0.04529, 0.1393, 0.0655, 0.05359, 0.04932, 0.09838, 0.02743, 0.2245, 0.2696, 0.4603, 19.62, 0.8177, 0.894, 0.164, 0.02802, 0.006588, 0.616, 1.0, 0.7359, 5.471, 0.006353, 0.006353
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--2.midi",0.08874, 0.2065, 0.9135, 0.8388, 11.39, 3.477, 1.0, 0.1207, 0.7174, 0.005249, 0.06387, 0.1846, 0.1409, 0.04987, 0.0105, 0.04549, 0.08486, 0.03325, 0.06824, 0.3771, 0.4705, 18.75, 0.6075, 0.686, 0.378, 0.03584, 0.00256, 0.4471, 1.0, 0.632, 1.907, 0.006319, 0.006319
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_19-20_R1_2014_MID--AUDIO_19_R1_2014_wav--2.midi",0.04308, 0.1801, 0.9641, 0.7553, 15.94, 3.382, 10.0, 0.1147, 0.8713, 0.00782, 0.07571, 0.1905, 0.1197, 0.04633, 0.02499, 0.0551, 0.0714, 0.02945, 0.09998, 0.3547, 0.4666, 18.14, 0.6629, 0.8028, 0.3118, 0.05603, 0.003379, 0.3677, 1.0, 0.7197, 3.2, 0.006506, 0.006506
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--2.midi",0.02698, 0.1271, 0.9765, 0.862, 17.96, 3.375, 9.0, 0.2247, 0.3953, 0.02665, 0.01805, 0.04622, 0.149, 0.06072, 0.04622, 0.04588, 0.1081, 0.0269, 0.2247, 0.2656, 0.467, 19.83, 0.8757, 0.9339, 0.1121, 0.0196, 0.004285, 0.6998, 1.0, 0.6676, 6.231, 0.00634, 0.00634
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_03_R1_2015_wav--1.midi",0.07155, 0.1514, 0.7536, 0.9909, 10.23, 3.445, 1.0, 0.1111, 0.7748, 0.00331, 0.08606, 0.1971, 0.08349, 0.03935, 0.03163, 0.04781, 0.1284, 0.04193, 0.03531, 0.3917, 0.4531, 17.04, 0.4456, 0.505, 0.5002, 0.1009, 0.008642, 0.2769, 0.9189, 0.9787, 1.251, 0.008965, 0.008965
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_14_R1_2015_wav--1.midi",0.07427, 0.1647, 0.9337, 0.962, 10.28, 3.319, 1.0, 0.1499, 0.6708, 0.005169, 0.1006, 0.2505, 0.1297, 0.05169, 0.01786, 0.03759, 0.07566, 0.03008, 0.03195, 0.3698, 0.4941, 16.05, 0.1893, 0.3351, 0.6434, 0.2497, 0.02237, 0.2349, 0.621, 1.363, 1.116, 0.01005, 0.01005
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--5.midi",0.04577, 0.1399, 0.9615, 0.9916, 14.08, 3.414, 9.0, 0.1053, 0.7404, 0.008967, 0.05679, 0.1172, 0.145, 0.06319, 0.0427, 0.05145, 0.0854, 0.03245, 0.1053, 0.3484, 0.4524, 20.62, 0.7246, 0.8619, 0.2592, 0.03365, 0.002347, 0.4757, 1.0, 0.6228, 2.914, 0.006376, 0.006376
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_15_R1_2015_wav--1.midi",0.06795, 0.1566, 0.9662, 0.9238, 9.116, 3.476, 1.0, 0.1173, 0.8391, 0.007649, 0.09842, 0.2157, 0.1163, 0.0617, 0.01581, 0.03978, 0.105, 0.04437, 0.04946, 0.3442, 0.4568, 14.67, 0.6497, 0.7447, 0.2773, 0.1093, 0.0303, 0.3255, 1.0, 1.577, 1.8, 0.008369, 0.008369
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_21_R2_2015_wav--1.midi",0.07432, 0.1741, 0.8856, 0.9367, 13.25, 3.552, 9.0, 0.1209, 0.7497, 0.01042, 0.04657, 0.1145, 0.1585, 0.0501, 0.02606, 0.04506, 0.08221, 0.02471, 0.1209, 0.3675, 0.4631, 21.17, 0.6796, 0.8241, 0.3086, 0.03165, 0.004881, 0.4114, 1.0, 0.5997, 1.932, 0.006186, 0.006186
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--1.midi",0.07534, 0.1484, 0.9596, 1.0, 10.76, 3.433, 1.0, 0.09565, 0.8678, 0.02846, 0.05455, 0.1375, 0.1573, 0.03478, 0.02372, 0.03794, 0.05929, 0.02767, 0.0332, 0.4601, 0.476, 19.12, 0.2382, 0.6279, 0.7359, 0.05251, 0.003805, 0.3896, 0.3828, 0.783, 0.7115, 0.0108, 0.0108
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_16_R1_2015_wav--1.midi",0.06504, 0.1518, 0.9231, 0.9744, 10.69, 3.366, 1.0, 0.1333, 0.5426, 0.001793, 0.07233, 0.2056, 0.08787, 0.04065, 0.01195, 0.04603, 0.07292, 0.04065, 0.03527, 0.4573, 0.4389, 18.37, 0.4892, 0.7621, 0.5036, 0.02724, 0.001668, 0.4125, 0.6617, 0.4952, 1.944, 0.007597, 0.007597
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_22_R2_2015_wav--1.midi",0.05363, 0.1412, 0.9941, 0.8989, 13.18, 3.353, 1.0, 0.1959, 0.6914, 0.001014, 0.1355, 0.3314, 0.1355, 0.03919, 0.02061, 0.0402, 0.05101, 0.01723, 0.04764, 0.3162, 0.4532, 19.61, 0.8216, 0.8889, 0.1739, 0.02253, 0.001587, 0.4281, 1.0, 0.469, 1.722, 0.006449, 0.006449
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_01_R1_2015_wav--1.midi",0.07664, 0.1732, 0.9524, 0.9751, 9.346, 3.415, 1.0, 0.1296, 0.6773, 0.003455, 0.08777, 0.2173, 0.1513, 0.07809, 0.02764, 0.05356, 0.1026, 0.06047, 0.04388, 0.2616, 0.4764, 12.87, 0.6961, 0.847, 0.2764, 0.04844, 0.007631, 0.3723, 0.8699, 0.8305, 1.594, 0.006682, 0.006682
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_06_R2_2015_wav--2.midi",0.07396, 0.1671, 0.8891, 0.9438, 11.34, 3.325, 9.0, 0.1479, 0.7946, 0.01549, 0.0338, 0.09663, 0.1951, 0.06105, 0.04512, 0.05256, 0.0947, 0.0402, 0.1479, 0.2513, 0.4315, 17.35, 0.7821, 0.8684, 0.203, 0.02779, 0.002514, 0.583, 1.0, 0.6085, 8.049, 0.00668, 0.00668
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--1.midi",0.06479, 0.1529, 0.9262, 0.9514, 10.19, 3.391, 1.0, 0.1583, 0.6714, 0.002826, 0.1063, 0.2646, 0.117, 0.03222, 0.02035, 0.05483, 0.08253, 0.03957, 0.03901, 0.3471, 0.4728, 14.7, 0.5305, 0.7408, 0.4249, 0.07329, 0.01381, 0.3123, 1.0, 1.046, 1.323, 0.008112, 0.008112
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_20_R1_2015_wav--3.midi",0.05556, 0.2194, 0.962, 0.5737, 17.02, 3.727, 1.0, 0.1809, 0.8929, 7.179E-4, 0.03159, 0.1048, 0.3159, 0.1809, 0.09332, 0.1098, 0.06389, 0.009332, 0.0402, 0.08112, 0.4806, 16.47, 0.879, 0.9093, 0.07525, 0.05696, 0.01406, 0.4972, 1.0, 0.9389, 1.347, 0.006425, 0.006425
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_07_R2_2015_wav--2.midi",0.07108, 0.166, 0.94, 0.9536, 11.24, 3.317, 9.0, 0.1332, 0.8568, 0.01316, 0.03813, 0.1021, 0.1931, 0.05326, 0.04554, 0.05341, 0.1056, 0.04085, 0.1332, 0.2598, 0.4376, 17.65, 0.8032, 0.8683, 0.1776, 0.0374, 0.0033, 0.6112, 1.0, 0.6561, 7.424, 0.006512, 0.006512
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_07_R2_2015_wav--3.midi",0.07861, 0.1816, 0.8754, 0.9446, 13.15, 3.577, 9.0, 0.1296, 0.671, 0.01214, 0.04462, 0.109, 0.15, 0.04999, 0.02994, 0.0466, 0.08642, 0.02824, 0.1296, 0.3581, 0.452, 20.99, 0.7033, 0.8653, 0.2787, 0.03388, 0.00397, 0.4195, 1.0, 0.6407, 1.617, 0.00649, 0.00649
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_11_R2_2015_wav--4.midi",0.04468, 0.1464, 0.939, 0.884, 14.59, 3.405, 10.0, 0.0803, 0.8424, 0.009894, 0.05154, 0.1192, 0.1188, 0.04498, 0.02934, 0.06397, 0.1117, 0.02853, 0.0803, 0.3932, 0.4407, 22.52, 0.8159, 0.9047, 0.1773, 0.01259, 0.002098, 0.5758, 1.0, 0.4682, 3.315, 0.006376, 0.006376
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_20_R1_2015_wav--2.midi",0.09205, 0.1992, 0.9727, 0.9958, 9.12, 3.528, 2.0, 0.1602, 0.5328, 0.01357, 0.07443, 0.2347, 0.1497, 0.05429, 0.008757, 0.04466, 0.06349, 0.0394, 0.07618, 0.3152, 0.4807, 14.88, 0.6674, 0.8653, 0.3268, 0.02008, 0.002929, 0.4397, 1.0, 0.679, 2.53, 0.00668, 0.00668
